Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML binary,1,1,1038,gina_agnostic,0,,,,,,,,,,,,,970,3410,0,0,0,0,970,3468,"0,9552297165","0,8191593353",0
OpenML binary,,0,1039,hiva_agnostic,,,,,,,,,,,,,,0,4229,0,0,1617,0,1617,4229,,,
OpenML binary,,0,1040,sylva_prior,,,,,,,,,,,,,,20,1772,0,0,88,0,108,14395,,,
OpenML binary,1,1,1042,gina_prior,0,,,,,,,,,,,,,548,3410,0,0,236,0,784,3468,"0,956402737","0,8379276637",0
OpenML binary,1,1,1046,mozilla4,,,,,,,,,,1,,,,4,10216,0,0,1,0,5,15545,"0,9260032626","0,7967373573",0
OpenML binary,,0,1053,jm1,,,,,,,,,,,,,,21,4206,0,0,0,5,21,10885,"0,6667194929","0,6611727417",1
OpenML binary,,0,1056,mc1,,,,,,,,,,,,,,34,136,0,0,4,0,38,9466,,,
OpenML binary,,0,1069,pc2,,,,,,,,,,,,,,35,46,0,0,1,0,36,5589,,,
OpenML binary,,0,1111,KDDCup09_appetency,,,,,,,,,,,,,,36,374,38,105,51,41706,230,50000,,,
OpenML binary,,0,1112,KDDCup09_churn,,,,,,,,,,,,,,36,962,38,105,51,41706,230,50000,,,
OpenML binary,,0,1114,KDDCup09_upselling,,,,,,,,,,,,,,36,1434,38,105,51,41706,230,50000,,,
OpenML binary,,0,1116,musk,,,,,,,,,,,,,,166,2034,1,0,0,0,167,6598,,,
OpenML binary,,0,1119,adult-census,,,,,,,,,,,,,,6,15682,8,0,0,0,14,32561,"0,7728","0,7437777778",1
OpenML binary,0,1,1120,MagicTelescope,,,,,,,,,,,,,1,10,13376,0,0,0,0,10,19020,"0,8619486668","0,7678046349",0
OpenML binary,1,0,1181,BNG(spectf_test),,,1,,,,,,,,,,,44,430380,0,0,0,0,44,1000000,"0,6315098771","0,6223925957",1
OpenML binary,1,0,1205,BNG(Australian),,,1,,,,,,,,,,,8,853898,0,0,6,0,14,1000000,"0,7115423763","0,7166316075",1
OpenML binary,1,0,1212,BNG(SPECTF),,,1,,,,,,,,,,,44,562600,0,0,0,0,44,1000000,"0,6468735018","0,6338606945",1
OpenML binary,1,0,1216,Click_prediction_small,,,,,,,,,,1,,,,7,133562,0,0,2,0,9,1496391,"0,5713427456","0,5611294683",1
OpenML binary,1,1,1217,Click_prediction_small,,,,,,,,,,1,,,,9,13380,0,0,2,0,11,149639,"0,626856004","0,585799701",0
OpenML binary,1,0,1218,Click_prediction_small,,,,,,,,,,1,,,,9,666008,0,0,2,0,11,1997410,"0,5483870968","0,5535702107",1
