checks_passed,dataset_id,dataset_name,heterogeneous,n_features,n_features_probable,n_pseudo_categorical,n_samples,num_categorical_columns,num_columns_missing,num_high_cardinality,num_rows_missing,original_n_features,original_n_samples,ratio_n_p,score_hbgt,score_logistic,too_easy
0,274.0,20_newsgroups.drift,,1989,1989,0.0,39994,1001,0,1,0,1001,399940,1,0.4711130671361127,0.47787468992558213,1
0,279.0,meta_stream_intervals.arff,,72,72,1.0,11818,1,0,1,0,74,45164,1,0.9971235194585448,0.9725888324873097,1
1,293.0,covertype,,10,10,44.0,566602,0,0,0,0,54,581012,1,0.822,0.6173333333333333,0
0,300.0,isolet,,613,613,4.0,600,0,0,0,0,617,7797,0,,,
0,310.0,mammography,,6,6,0.0,520,0,0,0,0,6,11183,1,,,
0,350.0,webdata_wXa,,0,0,123.0,36974,0,0,0,0,123,36974,1,,,
0,351.0,codrna,,8,8,0.0,325710,0,0,0,0,8,488565,1,0.9639333333333333,0.9512,1
1,354.0,poker,,5,5,5.0,1022616,0,0,0,0,10,1025010,1,0.7906333333333333,0.49533333333333335,0
0,357.0,vehicle_sensIT,,100,100,0.0,98528,0,0,0,0,100,98528,1,0.8667666666666667,0.8549666666666667,1
0,372.0,internet_usage,,67,220,0.0,2916,71,0,4,0,71,10108,1,,,
0,373.0,UNIX_user_data,,1,1,0.0,9100,1,0,1,0,2,9100,1,,,
0,375.0,JapaneseVowels,,14,14,0.0,2946,0,0,0,0,14,9961,1,,,
0,378.0,ipums_la_99-small,,41,199,0.0,1623,60,0,19,7221,60,8844,1,,,
0,381.0,ipums_la_98-small,,40,204,0.0,1681,60,1,19,5804,60,7485,1,,,
0,382.0,ipums_la_97-small,,42,202,0.0,1683,60,0,18,5336,60,7019,1,,,
,390.0,new3s.wc,,3613,3613,23219.0,1136,0,0,0,0,26832,9558,0,,,
0,399.0,ohscal.wc,,665,665,10800.0,2900,0,0,0,0,11465,11162,0,,,
,554.0,mnist_784,,,,10800.0,,,,,,,,,,,
0,720.0,abalone,,10,10,0.0,4162,1,0,0,0,8,4177,1,0.7735788630904723,0.788951160928743,1
1,722.0,pol,,26,26,22.0,10082,0,0,0,0,48,15000,1,0.9860495867768595,0.8493223140495868,0
0,725.0,bank8FM,,7,7,1.0,6614,0,0,0,0,8,8192,1,0.9422670025188917,0.9448866498740554,1
0,727.0,2dplanes,,0,0,10.0,40768,0,0,0,0,10,40768,1,,,
